subj_idx,cond,R1,R2,reward,choice,rt,postjudgment,block
3,1,18,19,19,2,0.39,1,1
3,1,18,19,19,2,0.368,1,1
3,1,18,19,19,2,0.392,1,1
3,1,18,19,18,1,0.398,0.24,1
3,1,18,19,19,2,0.408,1,1
3,1,18,19,19,2,0.497,1,1
3,1,18,19,19,2,0.351,1,1
3,1,18,19,19,2,0.364,1,1
3,1,18,19,18,1,0.3,0.36,1
3,1,18,19,19,2,0.444,1,1
3,1,18,19,19,2,0.369,1,1
3,1,18,19,19,2,0.509,1,1
3,1,18,19,18,1,0.338,0.87,1
3,1,18,19,19,2,0.324,1,1
3,1,18,19,19,2,0.476,1,1
3,1,20,19,20,1,1.091,0.35,1
3,1,20,21,20,1,0.37,1,1
3,1,20,21,20,1,0.497,1,1
3,1,22,21,22,1,0.977,1,1
3,1,22,21,22,1,0.379,1,1
4,1,2,3,3,2,6.226,0,1
4,1,2,3,2,1,2.559,0.76,1
4,1,2,3,3,2,0.638,0.86,1
4,1,2,3,2,1,1.454,0.88,1
4,1,2,3,3,2,0.936,1,1
4,1,2,3,3,2,0.598,1,1
4,1,2,3,2,1,1.15,1,1
4,1,2,3,3,2,0.535,1,1
4,1,2,3,3,2,0.567,1,1
4,1,2,3,3,2,0.486,1,1
4,1,2,3,3,2,0.495,1,1
4,1,2,3,2,1,0.719,1,1
4,1,2,3,2,1,0.838,1,1
4,1,2,3,3,2,0.455,1,1
4,1,2,3,3,2,0.487,1,1
4,1,2,3,3,2,0.55,1,1
4,1,2,3,3,2,0.512,1,1
4,1,2,3,3,2,0.487,1,1
4,1,2,3,3,2,0.575,1,1
4,1,2,3,3,2,0.71,1,1
4,1,2,3,3,2,1.16,1,1
4,1,2,3,3,2,0.902,1,1
4,1,2,3,3,2,0.985,1,1
4,1,2,3,3,2,0.822,1,1
4,1,2,3,3,2,0.852,0.52,1
4,1,4,3,3,2,0.753,1,1
4,1,4,5,5,2,3.762,1,1
4,1,4,5,4,1,0.717,0.5,1
4,1,6,5,6,1,0.527,0.5,1
4,1,6,5,5,2,1.183,0.5,1
4,1,6,5,6,1,0.503,0.5,1
4,1,6,5,6,1,0.686,1,1
4,1,6,5,6,1,0.423,1,1
4,1,6,7,6,1,0.439,1,1
4,1,6,7,6,1,0.44,1,1
4,1,6,7,7,2,0.917,0.53,1
4,1,6,7,7,2,0.591,1,1
4,1,8,7,8,1,0.406,0.5,1
4,1,8,7,7,2,1.311,0.5,1
4,1,8,7,7,2,0.476,0.5,1
4,1,8,7,8,1,0.404,0.5,1
4,1,8,7,8,1,0.502,0.5,1
4,1,8,7,7,2,0.494,0.5,1
4,1,8,7,8,1,0.384,0.5,1
4,1,8,7,8,1,0.487,0.5,1
4,1,8,9,9,2,0.445,0.5,1
4,1,8,9,9,2,0.512,0.5,1
4,1,8,9,9,2,0.46,0.5,1
4,1,8,9,9,2,0.463,0.5,1
4,1,8,9,8,1,0.423,0.5,1
4,1,8,9,9,2,0.503,0.5,1
4,1,8,9,9,2,0.414,0.5,1
4,1,8,9,9,2,0.86,0.5,1
4,1,8,9,8,1,0.799,0.5,1
4,1,8,9,9,2,1.04,0.5,1
4,1,8,9,9,2,0.973,0.5,1
4,1,8,9,8,1,0.463,0.5,1
4,1,8,9,9,2,0.534,0.5,1
4,1,8,9,8,1,0.406,0.33,1
4,1,8,9,9,2,0.622,0.73,1
4,1,8,9,9,2,0.479,0.5,1
4,1,8,9,8,1,0.383,0.5,1
4,1,8,9,9,2,0.486,0.68,1
4,1,8,9,9,2,1.412,0.5,1
4,1,8,9,9,2,0.947,0.8,1
4,1,8,9,8,1,0.758,0.62,1
4,1,8,9,9,2,0.844,0.61,1
4,1,10,9,9,2,0.559,0.65,1
4,1,10,9,10,1,0.636,0.43,1
4,1,10,9,10,1,0.789,0.5,1
4,1,10,9,10,1,0.431,0.5,1
4,1,10,9,10,1,0.715,0.5,1
4,1,10,9,10,1,0.414,0.5,1
4,1,10,11,10,1,0.39,0.5,1
4,1,10,11,11,2,0.575,0.31,1
